disease,description
acariasis,Chronic blepharitis is a common cause of eye irritation and dryness. They are often treated without regard to causal factors such as parasites which are rarely mentioned....
acute bronchitis,"Cough is the most common illness-related reason for ambulatory care visits in the United States. Acute bronchitis is a clinical diagnosis characterized by cough due to acute inflammation of the trachea and large airways without evidence of pneumonia. Pneumonia should be suspected in patients with tachypnea, tachycardia, dyspnea, or lung findings suggestive of pneumonia, and radiography is warranted. Pertussis should be suspected in patients with cough persisting for more than two weeks that is accompanied by symptoms such as paroxysmal cough, whooping cough, and post-tussive emesis, or recent pertussis exposure. The cough associated with acute bronchitis typically lasts about two to three weeks, and this should be emphasized with patients. Acute bronchitis is usually caused by viruses, and antibiotics are not indicated in patients without chronic lung disease. Antibiotics have been shown to provide only minimal benefit, reducing the cough or illness by about half a day, and have adverse effects, including allergic reactions, nausea and vomiting, and Clostridium difficile infection. Evaluation and treatment of bronchitis include ruling out secondary causes for cough, such as pneumonia; educating patients about the natural course of the disease; and recommending symptomatic treatment and avoidance of unnecessary antibiotic use. Strategies to reduce inappropriate antibiotic use include delayed prescriptions, patient education, and calling the infection a chest cold...."
acute bronchospasm,Tiotropium is a synthetic anticholinergic agent that is used as an inhalant for treatment of acute bronchospasm due to chronic bronchitis or emphysema. Tiotropium has not been implicated in causing liver enzyme elevations or clinically apparent acute liver injury....
acute cerebellar ataxia,"Cerebellar ataxia is a common finding in neurological practice and has a wide variety of causes, ranging from the chronic and slowly-progressive cerebellar degenerations to the acute cerebellar lesions due to infarction, edema and hemorrhage, configuring a true neurological emergency. Acute cerebellar ataxia is a syndrome that occurs in less than 72 hours, in previously healthy subjects. Acute ataxia usually results in hospitalization and extensive laboratory investigation. Clinicians are often faced with decisions on the extent and timing of the initial screening tests, particularly to detect treatable causes. The main group of diseases that may cause acute ataxias discussed in this article are: stroke, infectious, toxic, immune-mediated, paraneoplastic, vitamin deficiency, structural lesions and metabolic diseases. This review focuses on the etiologic and diagnostic considerations for acute ataxia...."
acute kidney failure,"Acute kidney injury is characterized by abrupt deterioration in kidney function, manifested by an increase in serum creatinine level with or without reduced urine output. The spectrum of injury ranges from mild to advanced, sometimes requiring renal replacement therapy. The diagnostic evaluation can be used to classify acute kidney injury as prerenal, intrinsic renal, or postrenal. The initial workup includes a patient history to identify the use of nephrotoxic medications or systemic illnesses that might cause poor renal perfusion or directly impair renal function. Physical examination should assess intravascular volume status and identify skin rashes indicative of systemic illness. The initial laboratory evaluation should include measurement of serum creatinine level, complete blood count, urinalysis, and fractional excretion of sodium. Ultrasonography of the kidneys should be performed in most patients, particularly in older men, to rule out obstruction. Management of acute kidney injury involves fluid resuscitation, avoidance of nephrotoxic medications and contrast media exposure, and correction of electrolyte imbalances. Renal replacement therapy (dialysis) is indicated for refractory hyperkalemia; volume overload; intractable acidosis; uremic encephalopathy, pericarditis, or pleuritis; and removal of certain toxins. Recognition of risk factors (e.g., older age, sepsis, hypovolemia/shock, cardiac surgery, infusion of contrast agents, diabetes mellitus, preexisting chronic kidney disease, cardiac failure, liver failure) is important. Team-based approaches for prevention, early diagnosis, and aggressive management are critical for improving outcomes...."
acute sinusitis,"Acute and chronic sinusitis are common primary care presentations. They are caused by mucosal inflammation, which inhibits mucociliary function of the nose and paranasal sinuses...."
addison disease,"Addison's disease - the traditional term for primary adrenal insufficiency (PAI) - is defined as the clinical manifestation of chronic glucocorticoid- and/or mineralocorticoid deficiency due to failure of the adrenal cortex which may result in an adrenal crisis with potentially life-threatening consequences. Even though efficient and safe pharmaceutical preparations for the substitution of endogenous gluco- and mineralocorticoids are established in therapy, the mortality in patients with PAI is still increased and the health-related quality of life (HRQoL) is often reduced.PAI is a rare disease but recent data report an increasing prevalence. In addition to the common ""classical"" causes of PAI like autoimmune, infectious, neoplastic and genetic disorders, other iatrogenic conditions - mostly pharmacological side effects (e. g., adrenal haemorrhage associated with anticoagulants, drugs affecting glucocorticoid synthesis, action or metabolism and some of the novel anti-cancer checkpoint inhibitors) are contributing factors to this phenomenon.Due to the rarity of the disease and often non-specific symptoms at least in the early stages, PAI is frequently not considered resulting in a delayed diagnosis. Successful therapy is mainly based on adequate patient education as a cornerstone in the prevention and management of adrenal crisis. A focus of current research is in the development of pharmacokinetically optimized glucocorticoid preparations as well as regenerative therapies...."
alcohol intoxication,"Acute alcohol intoxication (AAI) is a harmful clinical condition, potentially life-threatening, secondary to the intake of large amounts of alcohol. Clinical manifestations of AAI are characterized by behavioural and neurological symptoms, even if its effects involve several organs and apparatus. Moreover, severe alcohol intoxication can produce a global neurological impairment leading to autonomic dysfunction, respiratory depression, coma and cardiac arrest. The evaluation of blood alcohol concentrations (BAC) is useful to confirm the suspicion of intoxication, both for clinical and legal reasons. Most of patients with AAI are referred to Emergency Departments due to behavioural, social, traumatic or clinical complications. Patient's stabilization is the first step in the management of AAI, in order to support vital functions and to prevent complications. Metadoxine represents a useful drug to increase ethanol metabolism and elimination. Given that AAI could represent a sentinel event of chronic alcohol abuse, patients presenting with acute intoxication should be screened for the presence of an underlying alcohol use disorder and referred to and an alcohol addiction unit to start a multidisciplinary treatment to achieve long term alcohol abstinence. The present review will focus on clinical features, diagnostic criteria and treatment strategies of AAI...."
alcoholic liver disease,"Alcoholic liver disease (ALD) comprises a clinical-histologic spectrum including fatty liver, alcoholic hepatitis (AH), and cirrhosis with its complications. Most patients are diagnosed at advanced stages and data on the prevalence and profile of patients with early disease are limited. Diagnosis of ALD requires documentation of chronic heavy alcohol use and exclusion of other causes of liver disease. Prolonged abstinence is the most effective strategy to prevent disease progression. AH presents with rapid onset or worsening of jaundice, and in severe cases may transition to acute on chronic liver failure when the risk for mortality, depending on the number of extra-hepatic organ failures, may be as high as 20-50% at 1 month. Corticosteroids provide short-term survival benefit in about half of treated patients with severe AH and long-term mortality is related to severity of underlying liver disease and is dependent on abstinence from alcohol. General measures in patients hospitalized with ALD include inpatient management of liver disease complications, management of alcohol withdrawal syndrome, surveillance for infections and early effective antibiotic therapy, nutritional supplementation, and treatment of the underlying alcohol-use disorder. Liver transplantation, a definitive treatment option in patients with advanced alcoholic cirrhosis, may also be considered in selected patients with AH cases, who do not respond to medical therapy. There is a clinical unmet need to develop more effective and safer therapies for patients with ALD...."
allergic reactions,"Allergic reactions and anaphylaxis occur on a severity continuum from mild and self-limited to potentially life-threatening or fatal reactions. Anaphylaxis is typically a multiorgan phenomenon involving a broad range of effector cells and mediators. Emergency department visits for anaphylaxis are increasing, especially among children. There is a broad differential diagnosis for anaphylaxis, and the diagnosis of anaphylaxis can be aided by the use of the National Institutes of Allergy and Infectious Disease/Food Allergy and Anaphylaxis Network clinical diagnostic criteria. Risk factors for severe anaphylaxis include older age, delayed epinephrine administration, and cardiopulmonary comorbidities...."
alopecia,"Alopecia areata (AA) is a common chronic tissue-specific autoimmune disease, resulting in hair loss, that affects up to 2% of the general population. The exact pathobiology of AA has still remained elusive, while the common theory is the collapse of the immune privilege of the hair follicle caused by immunological mechanism. Multiple genetic and environment factors contribute to the pathogenesis of AA. There are several clinical treatments for AA, varying from one or multiple well-defined patches to more diffuse or total hair loss of the scalp (alopecia totalis) or hair loss of the entire body (alopecia universalis). The available treatments for AA, such as corticosteroids and other immunomodulators, minoxidil, and contact immunotherapy, are of limited efficacy with a high risk of adverse effects and high recurrence rates, especially for patients with severe AA. Recent insights into the pathogenesis of AA have led to the development of new treatment strategies, such as Janus kinase (JAK) inhibitors, biologics, and several small molecular agents. In addition, modern therapies for AA, including antihistamines, platelet-rich plasma (PRP) injection, and other novel therapies have been well explored. In this review, we discussed the recent advances in the pathogenesis, diagnosis, and treatment of AA...."
anal fissure,"Anal fissure is one of the most common anorectal diseases resulting from a longitudinal tear in anoderm under the dentate line. It causes painful defecation and bleeding per anum. Most of the fissures heal by conservative means but a significant proportion turns chronic, leading to a negative impact upon the overall quality of life of a patient. The treatment options for chronic fissures are generally based on reducing the anal pressures and include non-surgical and surgical modalities. Lateral internal sphincterotomy still remains the gold standard for definitive management of anal fissure though anal incontinence is a serious complication of the procedure. In recent years, various modifications have evolved to minimize chances of incontinence besides the evolution of a wide range of non-surgical options of management. This review outlines the key points in the clinical presentation, etiopathogenesis, impact on the quality of life and management of anal fissure in the light of the recent updates in literature...."
analgesic nephropathy,"The clinical manifestations of drug-induced renal disease may include all the manifestations attributed to natural or spontaneous renal diseases such as acute renal failure, chronic renal failure, acute nephritic syndrome, renal colic, haematuria, selective tubular defects, obstructive nephropathy, etc. It is therefore vital in any patient with renal disease whatever the clinical manifestations might be, to obtain a meticulous drug and toxin inventory. Withdrawal of the offending drug may result in amelioration or cure of the renal disorder although in the case of severe renal failure it may be necessary to utilise haemodialysis or peritoneal dialysis to tide the patient over the period of acute renal failure. Analgesic nephropathy is an important cause of terminal chronic renal failure and it is therefore vital to make the diagnosis as early as possible. The pathogenesis of some drug-induced renal disorders appears to be immunologically mediated. There are many other pathogenetic mechanisms involved in drug-induced renal disorders and some drugs may under appropriate circumstances be responsible for a variety of different nephrotoxic effects. For example, the sulphonamides have been incriminated in examples of crystalluria, acute interstitial nephritis, acute tubular necrosis, generalised hypersensitivity reactions, polyarteritis nodosa and drug-induced lupus erythematosus...."
anemia,"The World Health Organization estimates that approximately a quarter of the world's population suffers from anemia, including almost half of preschool-age children. Globally, iron deficiency anemia is the most common cause of anemia. Other important causes of anemia in children are hemoglobinopathies, infection, and other chronic diseases. Anemia is associated with increased morbidity, including neurologic complications, increased risk of low birth weight, infection, and heart failure, as well as increased mortality. When approaching a child with anemia, detailed historical information, particularly diet, environmental exposures, and family history, often yield important clues to the diagnosis. Dysmorphic features on physical examination may indicate syndromic causes of anemia. Diagnostic testing involves a stepwise approach utilizing various laboratory techniques. The increasing availability of genetic testing is providing new mechanistic insights into inherited anemias and allowing diagnosis in many previously undiagnosed cases. Population-based approaches are being taken to address nutritional anemias. Novel pharmacologic agents and advances in gene therapy-based therapeutics have the potential to ameliorate anemia-associated disease and provide treatment strategies even in the most difficult and complex cases...."
anemia due to chronic kidney disease,"Chronic kidney disease (CKD) in children has a significant impact on morbidity, mortality, and quality of life. The degree of renal dysfunction should be calculated using pediatric-specific formulas and the degree of CKD staged; this allows for appropriate dosing of medications based on renal function and monitoring for progression and comorbid conditions including metabolic acidosis, bone disease, anemia, cardiovascular complications, malnutrition and electrolyte abnormalities, growth failure, and psychosocial issues. Treatment strategies include treating the underlying disease and using general renal protective measures. Effective management of these complex issues requires a specialized multidisciplinary team approach...."
anemia of chronic disease,"Anaemia of chronic disease (ACD) is generated by the activation of the immune system by autoantigens, microbial molecules or tumour antigens resulting in the release of cytokines that cause an elevation of serum hepcidin, hypoferraemia, suppression of erythropoiesis, decrease in erythropoietin (EPO) and shortening of the half-life of red blood cells. Anaemia is usually normocytic and normochromic, which is the most prevalent after iron deficiency anaemia, and it is the most frequent in the elderly and in hospitalized patients. If the anaemia is severe, the patient's quality of life deteriorates, and it can have a negative impact on survival. Treatment is aimed at controlling the underlying disease and correcting anaemia. Sometimes intravenous iron and EPO have been used, but the therapeutic future is directed against hepcidin, which is the final target of anaemia...."
ankylosing spondylitis,"Ankylosing spondylitis (AS) affects one in 200 individuals and is usually diagnosed many years after onset of symptoms. Chronic back pain is common and recognition of early disease requires clinical experience and a high index of suspicion. Further, inflammatory markers are not invariably elevated and radiographic changes are often late findings...."
aortic regurgitation,"Aortic regurgitation (AR) has an estimated prevalence of 4.9% in the Framingham study, with moderate or severe AR occurring in 0.5% of the study population. The incidence and severity of AR increases with age, and may occur acutely or as a chronic valvular disease with distinct presentations, natural history and management strategy. Our review is a comprehensive description of the varied presentation of aortic regurgitation and its management...."
arterial embolism,"Endovascular intervention is a safe, effective treatment modality in the management of diverse pulmonary vascular pathologies, including acute or chronic thromboembolic disease, pulmonary arteriovenous malformations (pAVMs), pulmonary artery or bronchial artery hemorrhage, and foreign body retrieval. This article reviews indications, contraindications, techniques, and outcomes in endovascular management of common pulmonary vascular pathologies, with the goal of improving operator familiarity and facility with these procedures...."
